	ENGLISH	PART OF SPEECH	ODIA	INPUT
512	inner circle	Ns	ଆନ୍ତରିକ 	in
513	innings	Ns	ପାଳି (କ୍ରିକେଟ ଖେଳରେ) ଶସ୍ୟ ସଂଗ୍ରହ ଫସଲ ଆମଦାନୀ	in
514	innocence	Ns	ନିର୍ଦୋଷତା	in
515	innocent	Adj	ନିର୍ଦୋଷ	in
516	innocuous	Adj	ହାନି ନ କରୁଥିବା	in
517	innovate	VT	ନୂଆ ଢଂଗ ବାହାର କରିବା	in
518	innovation	Ns	ନବୀନୀକରଣ	in
519	innovatory	Adj	ନବୀନକାରୀ	in
520	innuendo	Ns	ବ୍ୟଂଗ୍ୟୋକ୍ତି	in
521	innumerable	Adj	ଅସଂଖ୍ୟ	in
522	innumerate	Adj	ଗଣିତରେ ଯାହାର ମୂଳ ଜ୍ଞାନ ନ ଥାଏ	in
523	inoculate	VT	ଟୀକା ଲଗେଇବା	in
524	inoculation	Ns	ଟୀକା	in
525	inoffensive	Adj	ହାନି ନ କଲାବାଲା	in
526	inontrouestibly	Adv	ନିର୍ବିବାଦ ଭାବେ	in
527	inoperable	Adj	ଯାହାର ଶଲ୍ୟ-ଚିକିତ୍ସା ନ ହୋଇପାରେ	in
528	inoperative	Adj	ଅକ୍ରିୟ	in
529	inordinate	Adj	ଅତ୍ୟଧିକ	in
530	inorganic	Adj	ଜଡ	in
531	inorganic chemistry	Ns	ଅଜୈବ ରସାୟନ ବିଜ୍ଞାନ	in
532	input	Ns	ଆମଦାନୀ	in
533	inquest	Ns	କାହାର ମୃତ୍ୟୁର ପାଇଁ ନ୍ୟାୟିକ ଯାଞ୍ଚ	in
534	inquire	VTI	ପଚରା ଉଚୁରା କରିବା	in
535	inquirer	Ns	ପଚରା ଉଚୁରା କରୁଥିବା	in
536	inquiring/enquiring	Adj	ବିଦ୍ୟାର୍ଜନର ଅଭିରୁଚି	in
537	inquiry	Ns	ପଚରା ଉଚୁରା	in
538	inquisition	Ns	ବିଧର୍ମି ମାନଙ୍କୁ ଦମନ କରିବାର ସଂଘ	in
539	inquisitive	Adj	ଜିଜ୍ଞାସୁ	in
540	inroad	Ns	ଅନୁପ୍ରବେଶ	in
541	inrush	Ns	ଜୋରରେ ଭିତରକୁ ଆସିବା	in
542	ins and outs	Ns	ପୂରା ବିବରଣ	in
543	insane	Adj	ପାଗଳ	in
544	insanitary	Adj	ଅସ୍ୱାସ୍ଥ୍ୟକର	in
545	insanity	Ns	ପାଗଳପଣ	in
546	insatiable	Adj	ଯିଏ ତୃପ୍ତ ନ ହୁଏ	in
547	inscribe	VT	ଛାପିବା	in
548	inscription	Ns	ଶିଳାଲେଖ	in
549	inscrutable	Adj	ଗୂଢ	in
550	insect	Ns	କୀଟ	in
551	insecticidal	Adj	କୀଟନାଶ ସମ୍ବନ୍ଧୀୟ	in
552	insecticide	Ns	କୀଟନାଶକ ପଦାର୍ଥ	in
553	insectivore	Ns	କୀଟଭକ୍ଷକ	in
554	insectivorous	Adj	କୀଟଭକ୍ଷୀ	in
555	insecure	Adj	ଅସୁରକ୍ଷିତ	in
556	insecurely	Adv	ଅସୁରକ୍ଷିତ ଭାବେ	in
557	insecurity	Ns	ଅସୁରକ୍ଷା	in
558	inseminate	VT	ଗର୍ଭାଧାନ କରିବା	in
559	insemination	Ns	ଗର୍ଭାଧାନ	in
560	insensibility	Ns	ସଂବେଦନଶୂନ୍ୟତା	in
561	insensible	Adj	ସଂବେଦନଶୂନ୍ୟ	in
562	insensitive	Adj	ଅସଂବେଦନଶୀଳ	in
563	insensitivity	Ns	ଅସଂବେଦନଶୀଳତା	in
564	inseparable	Adj	ଯିଏ ଅଲଗା ହୋଇ ପାରେନା	in
565	insert	VT	ପକେଇବା{ଭିତର ବା ଭିତରେ}	in
566	insertion	Ns	ନିବେଶନ	in
567	inset	V	ଜଡ଼ିତ କରିବା ଖାପେଇବା	in
568	inside	Ns	ଅଭ୍ୟନ୍ତର	in
569	inside lane	Ns	ବାଁ ପଟର ଯାନବାହନର ଯାଆସ ପଥ	in
570	insider	Ns	ଯିଏ ସମାଜ ଭିତରେ ଥାଏ	in
571	insidious	Adj	ପ୍ରଚ୍ଛନ୍ନ ଭାବେ	in
572	insidiously	Adv	ହାନିକାରକ	in
573	insight	Ns	ଅନ୍ତର୍ଦୃଷ୍ଟି	in
574	insignia	Ns	ପଦଚିହ୍ନ	in
575	insignificant	Adj	ନଗଣ୍ୟ	in
576	insincere	Adj	ନିଷ୍ଠାହୀନ	in
577	insincerity	Ns	କପଟ	in
578	insinuate	VTI	ଚାଲାକି ଭରା ସଂକେତ କରିବା	in
579	insinuation	Ns	ଚାଲାକି ଭରା ସଂକେତ	in
580	insipid	Adj	ଫିକା	in
581	insist	VI	ଦୃଢ଼ ରହିବା	in
582	insistent	Adj	ହଠୀ	in
583	insole	Ns	ଜୋତାର ତଳ	in
584	insolence	Ns	ଧୃଷ୍ଟତା	in
585	insolent	Adj	ଧୃଷ୍ଟ	in
586	insoluble	Adj	ନ ମିଶିବା ପଦାର୍ଥ	in
587	insolvency	Ns	ଦେବାଳିଆ ଅବସ୍ଥା	in
588	insolvent	Adj	ଦେବାଳିଆ	in
589	insomnia	Ns	ଅନିଦ୍ରାଭାବ	in
590	insomniac	Ns	ଅନିଦ୍ରାପୀଡିତ	in
591	insouciance	Ns	ନିଶ୍ଚିନ୍ତତା	in
592	inspect	VT	ଯାଞ୍ଚିବା	in
593	inspection	Ns	ନିରୀକ୍ଷଣ	in
594	inspector	Ns	ନିରୀକ୍ଷକ	in
595	inspector of taxes	Ns	କର ନିରୀକ୍ଷକ	in
596	inspectorate	Ns	ନିରୀକ୍ଷକ ସମୂହ	in
597	inspiration	Ns	ପ୍ରେରଣା	in
598	inspirational	Adj	ପ୍ରେରଣାଦାୟକ	in
599	inspire	VT	ପ୍ରେରଣା ଦେବା	in
600	inspired	Adj	ପ୍ରେରିତ	in
601	inspiring	Adj	ପ୍ରେରକ	in
602	instability	Ns	ଅସ୍ଥିରତା	in
603	install	VT	ଲଗେଇବା[ଯନ୍ତ୍ର]	in
604	installation	Ns	ପ୍ରତିଷ୍ଠାପନ	in
605	instalment	Ns	କିସ୍ତି	in
606	instant	Adj	ତୁରନ୍ତ	in
607	instantaneous	Adj	ତାତ୍କାଲିକ	in
608	instantaneously	Adv	ତତ୍କ୍ଷଣ	in
609	instantly	Adv	ଶୀଘ୍ର	in
610	instead	Adv	ବଦଳରେ	in
611	instep	Ns	ପାଦ ଉପରର ମଧ୍ୟ ଭାଗ	in
612	instigate	VT	ଉତ୍ତେଜିତ କରିବା	in
613	instigation	Ns	ଉତ୍ତେଜନା	in
614	instigator	Ns	ଉସ୍କେଇବା ବାଲା	in
615	instil	V	ଶିଖାଇବା	in
616	instinct	Ns	ସହଜଜ୍ଞାନ	in
617	instinctive	Adj	ସ୍ୱାଭାବିକ	in
618	instinctively	Adv	ସହଜ ଭାବେ	in
619	institute	Ns	ସଂସ୍ଥାନ	in
620	institution	Ns	ସଂସ୍ଥାପନ	in
621	institutional	Adj	ସଂସ୍ଥାନିକ	in
622	institutionalization	Ns	ସଂସ୍ଥାନୀକରଣ	in
623	institutionalize	V	ସଂସ୍ଥାନ କରି ଦେବା	in
624	instruct	VT	ଶିକ୍ଷା ଦେବା	in
625	instructions	Ns	ଆଦେଶ	in
626	instructive	Adj	ଶିକ୍ଷାପ୍ରଦ	in
627	instructor	Ns	ଉପଦେଶକ	in
628	instrument	Ns	ଉପକରଣ	in
629	instrumental	Adj	ସହାୟକ	in
630	Instrumental music	Ns	ବାଦ୍ୟ ସଂଗୀତ	in
631	instrumentalist	Ns	ବାଦକ	in
632	instrumentation	Ns	ବାଦ୍ୟସଂଗୀତ-ବିନ୍ୟାସ	in
633	insubordinate	Adj	ଅବଜ୍ଞାକାରୀ	in
634	insubordination	Ns	ଅନାଦରଅବଜ୍ଞା	in
635	insubstantial	Adj	କାଳ୍ପନିକ	in
636	insufferable	Adj	ଅସହ୍ୟ	in
637	insufficiency	Ns	ଅଳ୍ପତା	in
638	insufficient	Adj	ଅପର୍ଯ୍ୟାପ୍ତ	in
639	insular	Adj	ଅଲଗା-ଅଲଗା	in
640	insulate	V	ଆବୃତ୍ତ କରିବା	in
641	insulated	Adj	ଆବରଣଯୁକ୍ତ	in
642	insulating tape	Ns	ବିଦ୍ୟୁତ ଅବରୋଧୀ ପଟି	in
643	insulator	Ns	ଇନ୍ସୁଲେଟର କୁପରିବାହୀର ଆବରଣ	in
644	insulin	Ns	ଇନ୍ସୁଲିନ	in
645	insult	Ns	ଅପମାନ	in
646	insulting	Adj	ଅପମାନଜନକ	in
647	insuperable	Adj	ଅଜେୟ	in
648	insupportable	Adj	ଅସହ୍ୟ	in
649	insurance	Ns	ବୀମା	in
650	insurance policy	Ns	ବୀମା ଯୋଜନା	in
651	insure	V	ବୀମା କରିବା[କରାଇବା]	in
652	insurgent	Adj	ରାଜଦ୍ରୋହୀ	in
653	insurmountable	Adj	ଅଜେୟ	in
654	insurrection	Ns	ବିଦ୍ରୋହଦଙ୍ଗାବିପ୍ଲବପ୍ରଜାକୋପ	in
655	intact	Adj	ଅଖଣ୍ଡ	in
656	intake	Ns	ଖାଦ୍ୟ ଭିତରକୁ ନେବା	in
657	intangible	Adj	ଅସ୍ପଷ୍ଟ	in
658	integer	Ns	ପୂର୍ଣ୍ଣ ସଂଖ୍ୟା	in
659	integral	Adj	ପୂର୍ଣ୍ଣ	in
660	integrate	VT	ଏକୀକରଣ କରିବା	in
661	integrated	Adj	ଏକୀକୃତ	in
662	integrated circuit	Ns	ସମନ୍ୱିତ ସରକିଟ	in
663	integration	Ns	ଏକୀକରଣ	in
664	integrity	Ns	ସାଧୁତା	in
665	intellect	Ns	ପ୍ରଜ୍ଞା	in
666	intellectual	Adj	ବୁଦ୍ଧିଗତ	in
667	intellectualism	Ns	ପ୍ରଜ୍ଞାବାଦ	in
668	intellectualize	V	ବୁଦ୍ଧିସଂଗତ କରିବା	in
669	intellectually	Adv	ବୌଦ୍ଧିକ ଭାବେ	in
670	intelligence	Ns	ବୁଦ୍ଧିମତ୍ତା	in
671	intelligence test	Ns	ବୁଦ୍ଧିମତ୍ତାର ପରୀକ୍ଷା	in
672	intelligent	Adj	ବୁଦ୍ଧିମାନ	in
673	intelligently	Adv	ବୁଦ୍ଧିମତ୍ତାପୂର୍ବକ	in
674	intelligentsia	Ns	ପ୍ରବୁଦ୍ଧ ଲୋକ	in
675	intelligibility	Ns	ବୁଦ୍ଧିଗ୍ରାହ୍ୟତା	in
676	intelligible	Adj	ବୋଧନୀୟ	in
677	intemperance	Ns	ଅସଂଯମ	in
678	intemperate	Adj	ଅସଂଯମୀ	in
679	intend	VTI	ଉଦ୍ଦେଶ୍ୟ ରଖିବା	in
680	intended	Adj	ଉଦ୍ଧିଷ୍ଟ	in
681	intense	Adj	ତୀକ୍ଷ୍ଣଉତ୍କଟଅତିମାତ୍ରା	in
682	intensely	Adv	ଉତ୍କଟତାରୁ	in
683	intensifier	Ns	ତୀବ୍ରକ {ବ୍ୟାକରଣରେ}	in
684	intensify	VT	ସଶକ୍ତ କରିବା	in
685	intensity	Ns	ଉତ୍କଟତା	in
686	intensive	Adj	ବୃଦ୍ଧିକର	in
687	intensive care	Ns	ସଘନ ସଂରକ୍ଷଣ	in
688	intensively	Adv	ଅଧିକତାରୁ	in
689	intent	Adj	ଆସକ୍ତ ଚିତ୍ତ	in
690	intention	Ns	ଲକ୍ଷ୍ୟ	in
691	intentional	Adj	ଜାଣିଶୁଣି	in
692	intentionally	Adv	ଜାଣିଶୁଣି 	in
693	intently	Adv	ଉତ୍ସୁକତାପୂର୍ବକ	in
694	inter	VT	ପୋତିବା{ଲାଶ}	in
695	inter alia	Adv	ଅନ୍ୟ କଥାପାଇଁ ସାଙ୍ଗରେ	in
696	inter-	Pref	ଅନ୍ତର	in
697	inter-city	Adj	ଅନ୍ତର୍ନଗରୀ	in
698	interact	VI	ପରସ୍ପରକୁ ପ୍ରଭାବିତ କରିବା	in
699	interaction	Ns	ପାରସ୍ପରିକ ବ୍ୟବହାର	in
700	interactive	Adj	ପାରସ୍ପରିକ	in
701	interbreed	V	ମିଶ୍ରିତ ଜାତି ଜୀବ ଉତ୍ପନ୍ନ କରିବା	in
702	intercede	VI	ମଧ୍ୟସ୍ଥତା କରିବା	in
703	intercept	VT	ଭିତରେ ରୋକିବା	in
704	interception	Ns	ଅନ୍ତର୍ରୋଧନ	in
705	interceptor	Ns	ସେନା ବାୟୁଯାନ	in
706	interchange	VT	ଅଦଳ ବଦଳ କରିବା	in
707	interchangeable	Adj	ବିନିମୟ କ୍ଷମ	in
708	intercollegiate	Adj	ଅନ୍ତର୍ମହାବିଦ୍ୟାଳୟ	in
709	intercom	Ns	ଆଂତରିକ ସଂଚାର	in
710	intercommunicate	V	ଅଂତଃସଂଚାର ହୋଇଯିବା	in
711	intercommunication	Ns	ଅଂତଃସଂଚାର	in
712	interconnect	V	ଅନ୍ତର୍ସଂବଦ୍ଧ କରିବା	in
713	intercontinental	Adj	ଅନ୍ତର୍ମହାଦ୍ୱୀପୀୟ	in
714	intercourse	Ns	ସଂପର୍କ ସଂସ୍ପର୍ଶ ମୈଥୁନ	in
715	interdenominational	Adj	ଅନ୍ତର୍ଧର୍ମସଂପ୍ରଦାୟୀ	in
716	interdepartmental	Adj	ଅନ୍ତର୍ବିଭାଗୀୟ	in
717	interdependence	Ns	ପରସ୍ପରାଧୀନତା	in
718	interdependent	Adj	ଅନ୍ୟୋନ୍ୟାଶ୍ରିତ	in
719	interdict	Ns	ନିଷେଧାଜ୍ଞା	in
720	interest	Ns	ରସ ରୁଚି	in
721	interested	Adj	ରୁଚି ରଖିଲାବାଲା	in
722	interesting	Adj	ରୋଚକ	in
723	interestingly	Adv	ରୁଚିସହିତ	in
724	interface	Ns	ମିଳନର ବିଂଦୁ ପ୍ରବେଶ ପୂର୍ବର ସୂଚନା ପଟଳ	in
725	interfere	VI	ଭିତରେ ପଡ଼ିବା (ଆଉ କାହା ଜୀବନରେ) ମୁଣ୍ଡ ଖେଳେଇବା	in
726	interference	Ns	ହସ୍ତକ୍ଷେପ	in
727	interferon	Ns	ବିଷାଣୁ ଅବରୋଧକ{ଜୀବବିଜ୍ଞାନ ଓ ରସାୟନ}	in
728	intergalactic	Adj	ନୀହାରିକାଙ୍କର ମଧ୍ୟବର୍ତୀ	in
729	intergovernmental	Adj	ଅନ୍ତର୍ଶାସକୀୟ	in
730	interim	Adj	ଅଳ୍ପକାଳୀନ	in
731	interior	Adj	ଆନ୍ତରିକ	in
732	interior decorator	Ns	ଇଣ୍ଟେରିୟର ଡେକୋରେଟର{ଘରର ଆନ୍ତରିକ ସାଜ ସଜ୍ଜା	in
733	interior design	Ns	ଆନ୍ତରିକ ଡିଜ଼ାଇନ	in
734	interior designer	Ns	ଆଂତରିକ ଡିଜ଼ାଇନ କରିଲାବାଲା	in
735	interject	VT	ଭିତରେ ରାୟ ଦେବା	in
736	interjection	Ns	ବିସ୍ମୟାଦିବୋଧକ	in
737	interlace	V	ଗୁନ୍ଥିବା	in
738	interleave	Ns	ପୁସ୍ତକର ପୃଷ୍ଠା ଭିତରେ ସନ୍ନିବିଷ୍ଟ (ସାଧାରଣତଃ ଖାଲି) ପୃଷ୍ଠା	in
739	interlink	VT	ଜୋଡମିଳେଇବା	in
740	interlock	VTI	ପରସ୍ପରକୁ ଯୋଡ଼ିବା	in
741	interlocutor	Ns	ବକ୍ତା	in
742	interloper	Ns	ଆଗନ୍ତୁକ	in
743	interlude	Ns	ଅନ୍ତରାଳ	in
744	intermarriage	Ns	ଭିନ୍ନ ଜାତିର ବିବାହ	in
745	intermediary	Adj	ମଧ୍ୟସ୍ଥ	in
746	intermediate	Adj	ମଧ୍ୟବର୍ତୀ	in
747	interminable	Adj	ଅନନ୍ତ	in
748	interminably	Adv	ଅନନ୍ତ ଭାବେ	in
749	intermingle	V	ମିଶିବା	in
750	intermission	Ns	ମଧ୍ୟାନ୍ତର	in
751	intermittent	Adj	ସବିରାମ	in
752	intermittently	Adv	ସବିରାମ ଭାବେ	in
753	intern	VT	ବନ୍ଦୀ ରଖିବା	in
754	internal	Adj	ଆନ୍ତରିକ	in
755	internal-combustion engine	Ns	ଅନ୍ତର୍ଦାହୀ ଇଂଜିନ	in
756	internally	Adv	ଆଂତରିକ ଭାବେ	in
757	international	Adj	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟ	in
758	internationale	Ns	ସମାଜବାଦୀ ଗୀତ	in
759	internationalisation	Ns	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟତା	in
760	internationalism	Ns	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟତା	in
761	internationalist	Ns	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟତାବାଦୀ	in
762	internationally	Adv	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟତାରୁ	in
763	internecine	Adj	ଦ୍ୱିପକ୍ଷଘାତକୀୟ	in
764	internet	Ns	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟ କମ୍ପ୍ୟୂଟର ତନ୍ତ୍ର	in
765	interpenetrate	V	ଅନ୍ତର୍ଭେଦ	in
766	interpenetration	Ns	ଅନ୍ତର୍ଭେଦନ	in
767	interpersonal	Adj	ପାରସ୍ପରିକ	in
768	interplanetary	Adj	ଅନ୍ତର୍ଗ୍ରହ	in
769	interpol	Ns	ଅନ୍ତର୍ରାଷ୍ଟ୍ରୀୟ ପୁଲିସ	in
770	interpolate	V	ଭିତରେ ପକେଇବା	in
771	interpose	V	ଭିତରେ କହିବା	in
772	interpret	VTI	ବର୍ଣନ କରିବା	in
773	interpretation	Ns	ବୟାନ	in
774	interpretative	Adj	ବ୍ୟାଖ୍ୟାତ୍ମକ	in
775	interpreter	Ns	ଅନୁବାଦକ	in
776	interregnum	Ns	ଅନ୍ତରାଳ	in
777	interrelate	V	ପରସ୍ପର ସଂବଦ୍ଧ କରିବା	in
778	interrelation	Ns	ପାରସ୍ପରିକ ସଂବଂଧ	in
779	interrogate	VT	ପ୍ରଶ୍ନ କରିବା	in
780	interrogation	Ns	ପଚରା ଉଚୁରା	in
781	interrogative	Adj	ପ୍ରଶ୍ନାତ୍ମକ	in
782	interrupt	VT	କ୍ରମଭଂଗ କରିବା	in
783	interruption	Ns	ବାଧା	in
784	intersect	VT	ପରସ୍ପରକୁ ଛେଦ କରିବା ମଧ୍ୟଭେଦ କରି କାଟିବା	in
785	intersection	Ns	ଚାରିଛକି	in
786	intersperse	VT	ବୁଣିଦେବା ବିଞ୍ଚିଦେବା	in
787	interstate	Adj	ଅନ୍ତର୍ରାଜ୍ୟୀୟ	in
788	interstellar	Adj	ଅନ୍ତର୍ତାରକୀୟ	in
789	interstice	Ns	ଫାଟ	in
790	intertwine	VTI	ପରସ୍ପରକୁ ଛନ୍ଦିବା ଗୁନ୍ଥିବା	in
791	interval	Ns	ଅନ୍ତରାଳ	in
792	intervene	VI	ଭିତରେ ଆସିବା	in
793	intervention	Ns	ଦଖଲ	in
794	interview	Ns	ଭେଟ	in
795	interviewee	Ns	ସାକ୍ଷାତ୍କାରଦାତା	in
796	interviewer	Ns	ସାକ୍ଷାତକର୍ତା	in
797	interweave	VT	ଗୁନ୍ଥିବା	in
798	intestinal	Adj	ଅନ୍ତ୍ର ସଂବନ୍ଧୀ	in
799	intestine	Ns	ଅନ୍ତ୍ର	in
800	intimacy	Ns	ଆତ୍ମୀୟତା	in
801	intimate	Adj	ଆତ୍ମୀୟ	in
802	intimately	Adv	ପରିଚିତ ଭାବେ	in
803	intimidate	VT	ଧମକେଇବା	in
804	intimidation	Ns	ଧମକି	in
805	intimidatory	Adj	ଧମକଯୁକ୍ତ	in
806	into	Prep	ଭିତରକୁ	in
807	intolerable	Adj	ଅସହନୀୟ	in
808	intolerably	Adv	ଅସହ୍ୟତାରୁ	in
809	intolerance	Ns	ଅସହିଷ୍ଣୁତା	in
810	intolerant	Adj	ଅସହନଶୀଳ	in
811	intonation	Ns	ସୁର ଧ୍ୱନି ତାନ	in
812	intone	VTI	ସମାନ ତାଳରେ ଗାଇବା 	in
813	intoxicant	Ns	ମାଦକ ପଦାର୍ଥ	in
814	intoxicate	VT	ନିଶାଗ୍ରସ୍ତ କରିବା	in
815	intoxicating	Adj	ନିଶାଦ୍ରବ୍ୟ	in
816	intoxication	Ns	ନଶା	in
817	intra	Pref	ଆନ୍ତରିକ	in
818	intra-uterine	Adj	ଗର୍ଭାଶୟର ଆନ୍ତରିକ	in
819	intra-uterine device	Ns	ଗର୍ଭନିରୋଧକ ଉପକରଣ	in
820	intractable	Adj	ହଠୀ	in
821	intramural	Adj	ଅନ୍ତର୍ସଂସ୍ଥାନିକ	in
822	intransigence	Ns	ହଠ	in
823	intransigent	Adj	ହଠୀ	in
824	intransitive	Adj	ଅକର୍ମକ କ୍ରିୟା	in
825	intravenous	Adj	ଅନ୍ତର୍ଶିରା	in
826	intrepid	Adj	ନିର୍ଭୟ	in
827	intricacy	Ns	କଠିନତା	in
828	intricate	Adj	ଜଟିଟ ଝଞ୍ଜଟିଆ	in
829	intrigue	Ns	ଷଡ଼ଯନ୍ତ୍ର	in
830	intriguing	Adj	ଲୋଭନୀୟ	in
831	intrinsic	Adj	ମୂଳଭୂତ	in
832	intrinsically	Adv	ତାତ୍ୱିକ ଭାବେ	in
833	introduce	VT	ପରିଚୟ କରାଇବା	in
834	introduction	Ns	ପ୍ରସ୍ତୁତି	in
835	introductory	Adj	ଆରଂଭିକ	in
836	introspection	Ns	ଆତ୍ମବିଶ୍ଲେଷଣ	in
837	introspective	Adj	ଆତ୍ମବିଶ୍ଲେଷୀ	in
838	introversion	Ns	ଅନ୍ତର୍ମୁଖତା	in
839	introvert	Ns	ଅନ୍ତର୍ମୁଖୀ ବ୍ୟକ୍ତି	in
840	introverted	Adj	ଅନ୍ତର୍ମୁଖୀ	in
841	intrude	VTI	ପଶିବା	in
842	intruder	Ns	ଅନୁପ୍ରବେଶକାରୀ	in
843	intrusion	Ns	ବଳପୂର୍ବକ ପ୍ରବେଶ	in
844	intrusive	Adj	ଅନୁପ୍ରବେଶ କରୁଥିବା	in
845	intuit	V	ସହଜଜ୍ଞାନ ହୋଇଯିବା	in
846	intuition	Ns	ଅନ୍ତର୍ଜ୍ଞାନ	in
847	inundate	VT	ପ୍ଲାବିତ କରିବା	in
848	inundation	Ns	ନଈବଢ଼ି	in
849	invade	VT	ଆକ୍ରମଣ କରିବା	in
850	invader	Ns	ଆକ୍ରମଣକାରୀ	in
851	invalid	Adj	ଅବିଧିମାନ୍ୟ	in
852	invalidate	V	ଅବିଧିମାନ୍ୟ କରିବା	in
853	invalidity	Ns	ଅବିଧିମାନ୍ୟତା	in
854	invaluable	Adj	ଅମୂଲ୍ୟ	in
855	invariably	Adv	ସର୍ବଦା	in
856	invasion	Ns	ଆକ୍ରମଣ	in
857	invasive	Adj	ବିସ୍ତୃତି	in
858	invective	Ns	ଅପବାଦ	in
859	inveigle	V	ପ୍ରତାରଣା ପୂର୍ବକ କୁ-କର୍ମରେ ପ୍ରବର୍ତ୍ତାଇବା ଫୁସୁଲାଇବା	in
860	invent	VT	ଉଦ୍ଭାବନ କରିବା	in
861	invention	Ns	ଉଦ୍ଭାବନ	in
862	inventive	Adj	ଉଦ୍ଭାବକ	in
863	inventiveness	Ns	ଉଦ୍ଭାବନ କରିବାର ପ୍ରତିଭା	in
864	inventor	Ns	ଉଦ୍ଭାବକ	in
865	inventory	Ns	ବିସ୍ତୃତ ସୂଚୀ	in
866	inverse	Adj	ବିପରୀତ	in
867	inversion	Ns	ଓଲଟା	in
868	invert	VT	ଓଲଟା କରିବା	in
869	invertebrate	Ns	ଅମେରୁଦଣ୍ଡୀ	in
870	inverted commas	Ns	ଓଲଟା ଅଳ୍ପବିରାମ	in
871	invest	VT	ଧନ ଲଗେଇବା	in
872	investigate	VT	ଯାଞ୍ଚ କରିବା	in
873	investigation	Ns	ଯାଞ୍ଚ	in
874	investigator	Ns	ଯାଞ୍ଚ କରୁଥିବା	in
875	investigatory	Adj	ଯାଞ୍ଚ ସମ୍ବନ୍ଧିତ	in
876	investiture	Ns	ଅଭିଷେକ ସମାରୋହ ସମର୍ପଣ ଅର୍ପଣ	in
877	investment	Ns	ନିବେଶ	in
878	investor	Ns	ଧନ ଲଗେଇବା	in
879	inveterate	Adj	ଅଭ୍ୟସ୍ତ	in
880	invidious	Adj	ଦ୍ୱେଷଜନକ	in
881	invigilate	V	ଦେଖରେଖ କରିବା	in
882	invigilation	Ns	ଦେଖରେଖ	in
883	invigilator	Ns	ନିରୀକ୍ଷକ	in
884	invigorate	VT	ବଳବର୍ଧନ କରିବା	in
885	invigorating	Adj	ବଳବର୍ଧକ	in
886	invincible	Adj	ଅଜେୟ	in
887	inviolable	Adj	ଅଲଙ୍ଘ୍ୟ	in
888	inviolate	Adj	ଅନୁଲ୍ଲଂଘନୀୟ	in
889	invisibility	Ns	ଅଦୃଶ୍ୟତା	in
890	invisible	Adj	ଅଦୃଶ୍ୟ	in
891	invisibly	Adv	ଅଦୃଶ୍ୟ ଭାବେ	in
892	invitation	Ns	ଆମନ୍ତ୍ରଣ	in
893	invite	VT	ନିମନ୍ତ୍ରଣ ପଠାଇବା	in
894	invocation	Ns	ସ୍ତୁତି	in
895	invoice	Ns	ପଠାଇଥିବା ଦ୍ରବ୍ୟର ମୂଲ୍ୟ ସହିତ ତାଲିକା	in
896	invoke	VT	ଯାଚଜ୍ଞା କରିବା	in
897	involuntarily	Adv	ଅସ୍ୱୈଚ୍ଛିକ ଭାବରେ	in
898	involuntary	Adj	ଅସ୍ୱୈଚ୍ଛିକ	in
899	involve	VT	ସାମିଲ କରିବା	in
900	involvement	Ns	ଜଡ଼ିତ କରଣ ଜଡ଼ିତାବସ୍ଥା	in
901	invulnerable	Adj	ସୁରକ୍ଷିତ	in
902	inward	Adj	ଭିତିରିଆ	in
903	inwardly	Adv	ମନ ଭିତରେ	in
904	jump in	PhrV	ଆରମ୍ଭ କରିବା	in
905	Keep in	PhrV	ରୋକି ରଖିବା	in
906	keep in with {infl}	PhrV	ଭଲ ସଂବଂଧ ରଖିବା	in
907	lady-in-waiting	Ns	ଦାସୀ	in
908	life insurance	Ns	ଜୀବନ-ବୀମା	in
909	mother-in-law	Ns	ଶାଶୁ	in
910	move in	PhrV	ଭିତରକୁ ଆସିବା[ଯିବା]	in
911	non-intervention	Ns	ଅହସ୍ତକ୍ଷେପ	in
912	pen-and-ink	Adj	କାଳି କଲମରେ ଚିତ୍ରାଙ୍କିତ ଲିଖିତ	in
913	pop in	V	ଜଲ୍‌ଦି ଦେବା	in
914	pop into	V	ଜଲ୍‌ଦି ରଖିବା	in
915	post industrial	Adj	ଶିଳ୍ପୀକରଣର ପଶ୍ଚାତ	in
916	pull in	PhrV	ଗିରଫ କରିବା	in
917	pull into	PhrV	ପହଞ୍ଚିବା	in
918	Send in (sb or sth)	V	ପଠାଇବା ପାଇଁ	in
919	sit in	V	ଧାରଣାରେ ବସିବା	in
920	stand in	Ns	ର ଜାଗା ନେବା	in
921	stave in	V	ଛେଦ କରିଦେବା କଣା କରିବା	in
922	stay in	V	ଭିତରେ ରହିବା	in
923	stick insect	Ns	କାଠର କୀଟ	in
924	third party insurance	Ns	ତୃତୀୟ ପକ୍ଷର କ୍ଷତିପୂର୍ତିର ବୀମା	in
925	tie-in	PhrV	ସମାପ୍ତ କରିବା	in
926	tone-in	V	ସହିତ ମେଳ ହୋଇଯିବା	in
927	tuck into	VP	ରୁଚିପୂର୍ବକ ଖାନା	in
928	tune in	VP	ଲଗେଇବା	in
